SPECTRUM - MS,,
2NM118A_HILICAnnoWgN14_2NM111G_12.raw,,
FTMS - p ESI Full ms [85.00-1275.00],,
Scan #: 2287,,
RT: 21.42,,
m/z,Intensity,Relative
,,
85.03,123357.8,0
87.01,388118.2,0.02
87.05,179020.4,0.01
87.13,79686.5,0
88.04,2938750.5,0.12
89.02,751229.6,0.03
91.94,75547,0
92.03,82641.6,0
93.86,76659.8,0
94.98,180462,0.01
97.18,171267.5,0.01
100.04,962695.8,0.04
100.3,109441.3,0
101.02,637395.8,0.03
101.06,158893.4,0.01
101.67,104287.1,0
102.02,125976.3,0
102.04,79421,0
102.04,159807.8,0.01
102.05,89133.5,0
102.05,139980,0.01
102.06,281348608,11.05
102.07,146110.7,0.01
102.09,101170.2,0
103.05,968119.4,0.04
103.06,12814484,0.5
103.06,185684.9,0.01
103.53,108740.8,0
104.06,1223151.1,0.05
104.06,169892.8,0.01
106.07,149844.7,0.01
111.02,134649.7,0.01
114.02,348232.9,0.01
115,621435.1,0.02
115.04,404044.8,0.02
115.08,169539.8,0.01
115.97,88144.2,0
119.02,404678.2,0.02
119.52,90772.1,0
121.03,924197.6,0.04
124.58,93475.8,0
127.99,95333.6,0
128.02,89942.4,0
128.02,217410.6,0.01
128.04,319904608,12.57
128.05,94124.6,0
128.05,151546.3,0.01
128.07,369833,0.01
128.95,92638.2,0
129.02,2642987.8,0.1
129.03,1125260.3,0.04
129.04,16623061,0.65
129.04,372391.4,0.01
129.09,137824.6,0.01
129.6,97490,0
130.04,1544029.1,0.06
130.04,383357.5,0.02
130.96,106505.8,0
131.56,96387.2,0
132.03,33831736,1.33
133.03,119301.5,0
133.03,1253320.6,0.05
133.05,168922.4,0.01
134.03,452789.1,0.02
138.02,109969,0
138.07,106925.6,0
138.56,118597.9,0
138.77,110416.5,0
138.97,108544.6,0
139.19,112512.2,0
140.64,139332,0.01
140.83,140941.1,0.01
141.02,1333587,0.05
143.11,562704.1,0.02
145.82,484339.5,0.02
145.97,186562.8,0.01
145.99,1623892.6,0.06
146,200730.1,0.01
146.01,451292.7,0.02
146.01,201110.3,0.01
146.01,210529,0.01
146.02,364369.8,0.01
146.02,167561,0.01
146.02,1190128.6,0.05
146.02,433988,0.02
146.02,662664,0.03
146.03,1885522.5,0.07
146.05,2545476864,100
146.07,1960194.9,0.08
146.07,165503.2,0.01
146.07,792600.3,0.03
146.07,252172,0.01
146.07,325916.1,0.01
146.07,526719.4,0.02
146.08,455344.1,0.02
146.08,191025.5,0.01
146.08,334470.9,0.01
146.1,985165.9,0.04
146.1,447765,0.02
146.17,196389.5,0.01
146.27,361657,0.01
147.04,11073515,0.44
147.05,147895392,5.81
148.05,498429.8,0.02
148.05,23222406,0.91
148.05,2909847.8,0.11
149.05,993513.3,0.04
150.06,190462.4,0.01
151.06,1667312.6,0.07
154.95,377627.8,0.01
155,5960163.5,0.23
156,189787.5,0.01
156.99,1885099.4,0.07
157,380544,0.01
157.12,2397795.8,0.09
158.13,190763.7,0.01
168.03,2026213.4,0.08
171.1,169259.7,0.01
171.14,474152.3,0.02
172.96,1158367.3,0.05
174.06,176915.2,0.01
175.04,12417697,0.49
176.04,504438.6,0.02
176.05,722666.1,0.03
177.04,376056.4,0.01
184,1706560.4,0.07
186,163126.3,0.01
187.11,216438.3,0.01
188,755408.9,0.03
189.09,178381,0.01
193.05,1445023.4,0.06
195.03,134301.4,0.01
199.17,199710.2,0.01
206.01,637460.8,0.03
207.05,166498.5,0.01
207.07,5524103.5,0.22
208.07,718533.8,0.03
209.07,157156.7,0.01
211.06,385365.7,0.02
217,147597.5,0.01
219.04,162900.3,0.01
227.2,149565.6,0.01
228.05,780263.5,0.03
231.1,57459508,2.26
231.98,204937.4,0.01
232.1,340292.5,0.01
232.1,5377971,0.21
233.1,178780.8,0.01
233.15,456508.6,0.02
244.02,1269121,0.05
245.03,103065.4,0
245.11,124533,0
253.02,178415.4,0.01
253.08,660732.6,0.03
253.08,358312.5,0.01
255.23,3243233.5,0.13
256.24,984044.8,0.04
258.99,372368.6,0.01
260.13,132761.4,0.01
263.11,114377.2,0
264.16,156317,0.01
265.15,189158.3,0.01
269.05,491435.4,0.02
269.25,135569.6,0.01
270.1,112472.9,0
271.09,2010192.4,0.08
272.09,154204,0.01
272.09,192572.7,0.01
274.06,391085.2,0.02
274.18,102852.3,0
279.08,206497.8,0.01
281.25,185358.6,0.01
283.07,7940600,0.31
283.26,1250178.9,0.05
283.99,126121.5,0
284.07,602772.2,0.02
285.1,3755756.5,0.15
286.1,207329.7,0.01
291.07,142214.2,0.01
293.1,23733344,0.93
294.1,196703,0.01
294.1,2851917.5,0.11
295.1,171635.9,0.01
301.07,481475.2,0.02
306.08,429971.9,0.02
312.02,93704.7,0
315.08,23123638,0.91
315.25,153173.7,0.01
316.08,2452523.5,0.1
317.04,978189.5,0.04
317.04,138705.8,0.01
317.08,109527.8,0
320.01,1448552.1,0.06
331.05,35726692,1.4
332.05,192046,0.01
332.06,4126887.5,0.16
333.05,2490152.8,0.1
333.06,174852.3,0.01
334.06,152572.8,0.01
335.06,443785.7,0.02
337.06,159501.8,0.01
339.49,106236,0
340.11,222746.1,0.01
346.02,1674778.6,0.07
347.02,123061.7,0
347.05,97234.9,0
347.1,1529010.9,0.06
348.09,22697624,0.89
349.09,194534.9,0.01
349.09,3159939.5,0.12
350.08,854351.1,0.03
350.09,383705.8,0.02
353.04,1469932.1,0.06
353.14,143995.4,0.01
354.04,109319.9,0
356.19,123192,0
357.09,185517.4,0.01
358.12,1696796.5,0.07
359.52,96165.8,0
369.01,955220.3,0.04
369.68,105619.1,0
370.07,152226.2,0.01
371.01,93423.8,0
378.15,966883.5,0.04
379.76,99613.7,0
386.04,102912.5,0
390.99,95211.3,0
394.6,100500.8,0
397.99,149582.8,0.01
399.2,96082.2,0
400.13,394938.2,0.02
408.29,112102.4,0
411.01,122465.1,0
416.11,954612.3,0.04
417.11,197330.6,0.01
418.08,142641.9,0.01
423.28,152383.8,0.01
430.12,212137.8,0.01
436.09,991369.3,0.04
438.09,186627.5,0.01
440.15,122656.8,0
445.21,93124.3,0
448.16,99072.8,0
450.11,134761.2,0.01
454.06,203111.4,0.01
456.17,401203,0.02
462.22,153396.3,0.01
485.31,495623.2,0.02
492.29,113459.9,0
493.07,189719.5,0.01
499.21,384385.3,0.02
500.09,563360.3,0.02
511.33,484789.4,0.02
516.06,434317.9,0.02
528.23,114783.9,0
533.1,119502.7,0
542.25,103274.5,0
565.18,125406.6,0
571.38,92309.1,0
572.34,677728.5,0.03
585.29,114878.2,0
587.2,350284.5,0.01
588.34,188990.8,0.01
597.33,189849,0.01
598.36,483655.7,0.02
605.09,108645.9,0
614.35,376649.4,0.01
624.38,112528,0
626.36,127633.8,0.01
628.33,105721.8,0
629.37,116950.4,0
630.35,202439.6,0.01
640.37,140635.5,0.01
660.73,373700.1,0.01
662.1,481517.9,0.02
734.26,422281.6,0.02
734.76,166178,0.01
745.41,179844.1,0.01
746.43,527638.3,0.02
762.43,147286.6,0.01
772.45,199586,0.01
775.15,95367.8,0
809.15,178622.3,0.01
837.62,108060.9,0
881.31,198317.2,0.01
955.34,159934.4,0.01
983.74,116552.4,0
1028.36,117149.2,0
1029.37,146391.6,0.01
1127.07,140292.8,0.01
1242.94,115526.5,0
